Rejection_Rate,Date,Season_Year,County,#loads,Tomato_variety,Average_worm/insect_damage,Average_mold,Average_green,Average_material_other_than_tomatoes,Average_hue_loads,Average_hue,Average_color,Average_solids,Average_pH
0.0005273334505185,2012-07-21,2012,  KERN,6.0,"502-205, BQ",0.0,0.7,0.8,0.3,121.5968847352025,19.085844195210672,27.3,5.17,4.32
0.0,2019-07-27,2019,KINGS,21.0,0-UNCODED,0.0,0.0,1.4,0.2,21.0,20.9,0.0,5.63,4.51
0.0,2016-07-23,2016,  CONTRA COSTA,44.0,"397-6397, N",0.0,2.4,2.6,0.7,121.5968847352025,19.085844195210672,25.7,4.65,4.4
0.0042643923240938,2012-09-08,2012,  STANISLAUS,31.0,"261-2601, HEINZ",0.0,0.5,0.7,0.3,121.5968847352025,19.085844195210672,24.1,5.63,4.41
0.0,2015-08-22,2015,  SAN BENITO,47.0,"892-1892, HMX",0.0,0.6,1.6,0.0,121.5968847352025,19.085844195210672,25.3,5.16,4.42
0.0015484670176525,2017-08-05,2017,COLUSA,3.0,"103-403, BQ",0.0,0.0,0.3,0.0,121.5968847352025,19.085844195210672,25.7,5.53,4.33
0.0018685767673621,2013-09-28,2013,  YOLO,1.0,"42-6402, NUNHEMS",0.0,2.5,0.5,4.0,121.5968847352025,19.085844195210672,28.0,5.4,4.37
9.14703864623828e-05,2015-07-25,2015,  FRESNO,"1,472","892-1892, HMX",0.0,0.3,2.3,1.4,121.5968847352025,19.085844195210672,25.0,5.53,4.37
0.0016304347826086,2014-08-23,2014,  YOLO,5.0,666-MISC EXP,0.0,0.5,1.0,0.2,121.5968847352025,19.085844195210672,23.2,5.76,4.49
0.0001692906720839,2015-08-01,2015,  KINGS,58.0,"915-1175, HEINZ",0.0,0.5,2.6,0.4,121.5968847352025,19.085844195210672,24.3,5.26,4.48
0.0,2019-08-03,2019,YOLO,340.0,"273-273, BQ",0.0,0.2,1.3,0.6,340.0,21.9,0.0,5.43,4.31
0.0,2019-10-05,2019,SAN JOAQUIN,208.0,"275-2756, SV",0.0,0.8,1.9,1.0,208.0,19.1,0.0,5.34,4.39
0.0055066079295154,2013-09-28,2013,  SAN JOAQUIN,120.0,"3-3, AB",0.0,2.3,2.0,0.4,121.5968847352025,19.085844195210672,26.3,5.27,4.35
0.0001088435374149,2016-07-23,2016,  FRESNO,382.0,"560-5608, HZ",0.0,0.1,2.5,0.3,121.5968847352025,19.085844195210672,23.7,5.38,4.37
0.0002440810349035,2011-09-17,2011,  MERCED,75.0,433  HEINZ 3402Cur Wk,0.0,2.6,4.7,2.4,121.5968847352025,19.085844195210672,23.8,4.65,4.54
0.0011350737797956,2017-08-26,2017,SUTTER,3.0,"13-13, BP",0.0,1.5,5.3,1.3,121.5968847352025,19.085844195210672,25.7,4.97,4.42
0.0003658648129516,2011-08-13,2011,  FRESNO,1.0,74.0HEINZ 4007,0.0,0.5,0.5,0.0,121.5968847352025,19.085844195210672,24.0,4.8,4.47
